fps_count,is_gookmin100,video_length_seconds,exercise_id,file_size,job_ymd,operation_name,repetition_count_name,resolution,set_count_name,training_week_name,body_part,exercise_tool,fitness_factor_name,fitness_level_name,target_group,training_aim_name,training_place_name,training_section_name,training_sequence_name,training_step_name,image_url,video_url,description,image_file_name,title,standard_title,muscles
29.96,1,72,152,11720537,20221010,NULL,,1280*720,,NULL,상체,기타,근력,고급,공통,NULL,헬스장,NULL,NULL,NULL,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00498/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00498.mp4,"근력 운동 중, 허리 굽혀 덤벨 들기운동을 설명한 운동처방 가이드 동영상",0AUDLJ08S_00498_SC_00005.jpeg,"허리 굽혀 덤벨 들기",데드리프트,"뒤세모근,등세모근"
29.96,1,52,153,8117357,20220920,NULL,,1280*720,,NULL,몸통,기타,근력,고급,공통,NULL,헬스장,NULL,NULL,NULL,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00499/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00499.mp4,"근력 운동 중, 매달려서 다리들기운동을 설명한 운동처방 가이드 동영상",0AUDLJ08S_00499_SC_00004.jpeg,"매달려서 다리들기","레그 레이즈","배곧은근,엉덩관절굽힘근"
29.96,1,67,154,11299262,20220923,NULL,,1280*720,,NULL,몸통,기타,근력,초급,공통,NULL,실내,NULL,NULL,NULL,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00500/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00500.mp4,"근력 운동 중, 몸통 옆으로 굽히기운동을 설명한 운동처방 가이드 동영상",0AUDLJ08S_00500_SC_00003.jpeg,"몸통 옆으로 굽히기","사이드 밴드","배빗근,앞톱니근"
29.96,1,58,155,9357992,20220920,NULL,,1280*720,,NULL,상체,기타,근력,고급,공통,NULL,헬스장,NULL,NULL,NULL,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00501/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00501.mp4,"근력 운동 중, 매달려서 뒤로 팔굽혀펴기운동을 설명한 운동처방 가이드 동영상",0AUDLJ08S_00501_SC_00003.jpeg,"매달려서 뒤로 팔굽혀펴기","풀업 푸시업","앞세모근,위팔세갈래근,큰가슴근"
29.96,1,64,156,10358088,20220921,NULL,,1280*720,,NULL,상체,기타,근력,중급,공통,NULL,헬스장,NULL,NULL,NULL,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00502/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00502.mp4,"근력 운동 중, 누워서 덤벨 들어올리기운동을 설명한 운동처방 가이드 동영상",0AUDLJ08S_00502_SC_00006.jpeg,"누워서 덤벨 들어올리기","덤벨 프레스",큰가슴근
29.96,1,68,157,11071678,20220921,NULL,,1280*720,,NULL,상체,기타,근력,고급,공통,NULL,실내,NULL,NULL,NULL,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00503/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00503.mp4,"근력 운동 중, 누워서 덤벨 모아들기운동을 설명한 운동처방 가이드 동영상",0AUDLJ08S_00503_SC_00015.jpeg,"누워서 덤벨 모아들기","덤벨 로우",큰가슴근
29.96,1,67,158,10908647,20220930,NULL,,1280*720,,NULL,상체,기타,근력,고급,공통,NULL,실내,NULL,NULL,NULL,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00504/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00504.mp4,"근력 운동 중, 서서 바벨 위로 밀기운동을 설명한 운동처방 가이드 동영상",0AUDLJ08S_00504_SC_00005.jpeg,"서서 바벨 위로 밀기","오버헤드 프레스",어깨세모근
29.96,1,65,159,10419006,20220929,NULL,,1280*720,,NULL,상체,기타,근력,고급,공통,NULL,헬스장,NULL,NULL,NULL,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00505/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00505.mp4,"근력 운동 중, 바벨 들어 팔꿈치 굽히기운동을 설명한 운동처방 가이드 동영상",0AUDLJ08S_00505_SC_00003.jpeg,"바벨 들어 팔꿈치 굽히기","바벨 컬",위팔두갈래근
29.96,1,53,160,8610109,20220919,NULL,,1280*720,,NULL,상체,기타,근력,중급,공통,NULL,실내,NULL,NULL,NULL,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00506/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00506.mp4,"근력 운동 중, 고정한 상태에서 덤벨 들고 팔꿈치 굽히기운동을 설명한 운동처방 가이드 동영상",0AUDLJ08S_00506_SC_00004.jpeg,"고정한 상태에서 덤벨 들고 팔꿈치 굽히기","덤벨 컬",위팔두갈래근
29.96,1,71,161,11359321,20220916,NULL,,1280*720,,NULL,상체,기타,근력,초급,공통,NULL,헬스장,NULL,NULL,NULL,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00507/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00507.mp4,"근력 운동 중, 누워서 머리 위로 팔꿈치 펴기운동을 설명한 운동처방 가이드 동영상",0AUDLJ08S_00507_SC_00005.jpeg,"누워서 머리 위로 팔꿈치 펴기","트라이셉스 익스텐션",위팔세갈래근
29.96,1,62,162,10159144,20221010,NULL,,1280*720,,NULL,상체,기타,근력,고급,공통,NULL,헬스장,NULL,NULL,NULL,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00508/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00508.mp4,"근력 운동 중, 허기 굽혀 덤벨 위로 들기운동을 설명한 운동처방 가이드 동영상",0AUDLJ08S_00508_SC_00003.jpeg,"허리 굽혀 덤벨 위로 들기",데드리프트,위팔세갈래근
29.96,1,54,163,8950969,20220921,NULL,,1280*720,,NULL,상체,기타,근력,중급,공통,NULL,실내/실외,NULL,NULL,NULL,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00509/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00509.mp4,"근력 운동 중, 덤벨 옆으로 들어올리기운동을 설명한 운동처방 가이드 동영상",0AUDLJ08S_00509_SC_00001.jpeg,"덤벨 옆으로 들어올리기","덤벨 레터럴 레이즈",중간어깨세모근
29.96,1,68,164,11481065,20220922,NULL,,1280*720,,NULL,상체,기타,근력,초급,공통,NULL,헬스장,NULL,NULL,NULL,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00510/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00510.mp4,"근력 운동 중, 손목 펴기/굽히기운동을 설명한 운동처방 가이드 동영상",0AUDLJ08S_00510_SC_00003.jpeg,"손목 펴기/굽히기","손목 스트레칭","손목굽힘근,손목폄근"
29.96,1,69,165,11430068,20221003,NULL,,1280*720,,NULL,상체,기타,근력,초급,공통,NULL,실내,NULL,NULL,NULL,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00511/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00511.mp4,"근력 운동 중, 앉아서 팔꿈치 굽히기/펴기운동을 설명한 운동처방 가이드 동영상",0AUDLJ08S_00511_SC_00003.jpeg,"앉아서 팔꿈치 굽히기/펴기","바이셉 컬","위팔두갈래근,위팔세갈래근"
29.96,1,68,166,11164167,20220930,NULL,,1280*720,,NULL,전신,기타,근력,초급,공통,NULL,실내,NULL,NULL,NULL,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00512/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00512.mp4,"근력 운동 중, 서서 균형잡기운동을 설명한 운동처방 가이드 동영상",0AUDLJ08S_00512_SC_00003.jpeg,"서서 균형잡기","밸런스 훈련","넙다리네갈래근,배곧은근,허리근"
29.96,1,92,167,14929802,20221005,NULL,,1280*720,,NULL,몸통,기타,근력,고급,공통,NULL,실내,NULL,NULL,NULL,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00513/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00513.mp4,"근력 운동 중, 엎드려서 균형잡기운동을 설명한 운동처방 가이드 동영상",0AUDLJ08S_00513_SC_00003.jpeg,"엎드려서 균형잡기","밸런스 훈련","볼기근,척추세움근,허리근"
29.96,1,72,168,11796295,20221005,NULL,,1280*720,,NULL,몸통,기타,근력,중급,공통,NULL,실내,NULL,NULL,NULL,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00514/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00514.mp4,"근력 운동 중, 윗몸 말아 올리기운동을 설명한 운동처방 가이드 동영상",0AUDLJ08S_00514_SC_00005.jpeg,"윗몸 말아 올리기",크런치,"배곧은근,배빗근"
29.96,1,76,169,12575097,20221005,NULL,,1280*720,,NULL,하체,기타,근력,중급,공통,NULL,실내,NULL,NULL,NULL,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00515/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00515.mp4,"근력 운동 중, 엎드려서 다리 차올리기운동을 설명한 운동처방 가이드 동영상",0AUDLJ08S_00515_SC_00003.jpeg,"엎드려서 다리 차올리기","리버스 하이퍼 익스텐션",볼기근
29.96,1,52,170,8360781,20220930,NULL,,1280*720,,NULL,몸통,기타,근력,중급,공통,NULL,실내,NULL,NULL,NULL,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00516/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00516.mp4,"근력 운동 중, 서서 균형 잡으며 몸통 회전하기운동을 설명한 운동처방 가이드 동영상",0AUDLJ08S_00516_SC_00005.jpeg,"서서 균형 잡으며 몸통 회전하기","스탠딩 트위스트","넙다리네갈래근,배곧은근,배빗근,허리근"
29.96,1,66,171,10790108,20221010,NULL,,1280*720,,NULL,전신,기타,근력,고급,공통,NULL,실내,NULL,NULL,NULL,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00517/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00517.mp4,"근력 운동 중, 짝운동을 설명한 운동처방 가이드 동영상",0AUDLJ08S_00517_SC_00003.jpeg,짝운동,짝운동,"넙다리네갈래근,배곧은근,배빗근,허리근"
29.96,1,66,172,10834204,20220930,NULL,,1280*720,,NULL,상체,기타,근력,중급,공통,NULL,실내,NULL,NULL,NULL,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00518/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00518.mp4,"근력 운동 중, 서서 상체 일으키기운동을 설명한 운동처방 가이드 동영상",0AUDLJ08S_00518_SC_00003.jpeg,"서서 상체 일으키기","스탠딩 트렁크 리프트","뒤넙다리근,볼기근,허리근"
