fps_count,is_gookmin100,video_length_seconds,exercise_id,file_size,job_ymd,operation_name,repetition_count_name,resolution,set_count_name,training_week_name,body_part,exercise_tool,fitness_factor_name,fitness_level_name,target_group,training_aim_name,training_place_name,training_section_name,training_sequence_name,training_step_name,image_url,video_url,description,image_file_name,title,training_name,standard_title
29.96,1,82,911,13339877,20220930,운동처방동영상,,1280*720,,,상체,맨몸,근력/근지구력,초급,공통,,,,,,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00241/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00241.mp4,"실내에서 할 수 있는 운동 중, 엎드려 양팔 올리기운동을 설명한 운동처방 동영상",0AUDLJ08S_00241_SC_00001.jpeg,엎드려 양팔 올리기,엎드려 양팔 올리기,엎드려 양팔 올리기
29.96,1,56,912,9024532,20220929,운동처방동영상,,1280*720,,,하체,기타,근력/근지구력,초급,공통,,,,,,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00242/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00242.mp4,"실내에서 할 수 있는 운동 중, 누워서 하늘 자전거운동을 설명한 운동처방 동영상",0AUDLJ08S_00242_SC_00008.jpeg,누워서 하늘 자전거,누워서 하늘 자전거,자전거
29.96,1,67,913,11028302,20220929,운동처방동영상,,1280*720,,,하체,맨몸,기타,초급,공통,,,,,,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00243/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00243.mp4,"실내에서 할 수 있는 운동 중, 누워서 엉덩이 들어올리기운동을 설명한 운동처방 동영상",0AUDLJ08S_00243_SC_00001.jpeg,누워서 엉덩이 들어올리기,누워서 엉덩이 들어올리기,레이즈 (기타)
29.96,1,60,914,9592464,20221111,운동처방동영상,,1280*720,,,전신,맨몸,근력/근지구력,중급,공통,,,,,,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00244/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00244.mp4,"실내에서 할 수 있는 운동 중, 네발기기 자세에서 팔 다리 들기운동을 설명한 운동처방 동영상",0AUDLJ08S_00244_FR_00002.jpeg,네발기기 자세에서 팔 다리 들기,네발기기 자세에서 팔 다리 들기,레그 레이즈
29.96,1,73,915,11956187,20221018,운동처방동영상,,1280*720,,,전신,맨몸,근력/근지구력,중급,공통,,,,,,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00245/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00245.mp4,"실내에서 할 수 있는 운동 중, 엎드려서 팔 다리 들기운동을 설명한 운동처방 동영상",0AUDLJ08S_00245_SC_00001.jpeg,엎드려서 팔 다리 들기,엎드려서 팔 다리 들기,레그 레이즈
29.96,1,65,916,10435027,20220929,운동처방동영상,,1280*720,,,상체,맨몸,근력/근지구력,초급,공통,,,,,,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00246/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00246.mp4,"실내에서 할 수 있는 운동 중, 네발기기 자세에서 손바닥으로 바닥밀기운동을 설명한 운동처방 동영상",0AUDLJ08S_00246_SC_00008.jpeg,네발기기 자세에서 손바닥으로 바닥밀기,네발기기 자세에서 손바닥으로 바닥밀기,프레스 (기타)
29.96,1,63,917,10255127,20221112,운동처방동영상,,1280*720,,,하체,맨몸,근력/근지구력,중급,공통,,,,,,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00247/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00247.mp4,"실내에서 할 수 있는 운동 중, 네발기기 자세에서 다리 위로 뻗어올리기운동을 설명한 운동처방 동영상",0AUDLJ08S_00247_SC_00001.jpeg,네발기기 자세에서 다리 위로 뻗어올리기,네발기기 자세에서 다리 위로 뻗어올리기,네발기기 자세에서 다리 위로 뻗어올리기
29.96,1,64,918,10084864,20221004,운동처방동영상,,1280*720,,,상체,맨몸,근력/근지구력,중급,공통,,,,,,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00248/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00248.mp4,"실내에서 할 수 있는 운동 중, 팔굽혀펴기운동을 설명한 운동처방 동영상",0AUDLJ08S_00248_SC_00008.jpeg,팔굽혀펴기,팔 굽혀 펴기,푸시업
29.96,1,93,919,15402107,20221013,운동처방동영상,,1280*720,,,전신,맨몸,유연성,초급,공통,,,,,,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00249/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00249.mp4,"실내에서 할 수 있는 운동 중, 누워서 팔 다리 교차 뻗기운동을 설명한 운동처방 동영상",0AUDLJ08S_00249_FR_00002.jpeg,누워서 팔 다리 교차 뻗기,누워서 팔 다리 교차 뻗기,트라이셉스 익스텐션
29.96,1,60,920,9508548,20220929,운동처방동영상,,1280*720,,,상체,맨몸,근력/근지구력,고급,공통,,,,,,http://openapi.kspo.or.kr/web/image/0AUDLJ08S_00250/,http://openapi.kspo.or.kr/web/video/0AUDLJ08S_00250.mp4,"실내에서 할 수 있는 운동 중, 뒤로 팔굽혀펴기운동을 설명한 운동처방 동영상",0AUDLJ08S_00250_FR_00002.jpeg,뒤로 팔굽혀펴기,뒤로 팔 굽혀 펴기,푸시업
